experiment,status,time_sec,best_auc,best_loss,final_round,timestamp
IID,SUCCESS,4237.0,0.9642,0.102833,63,2026-01-15 06:28:28
FedAvg_Alpha_10.0,SUCCESS,6010.9,0.9634,0.106352,65,2026-01-15 08:08:54
FedProx_Mu0.01_Alpha_10.0,SUCCESS,10609.8,0.9637,0.105002,82,2026-01-15 11:05:59
FedProx_Mu0.1_Alpha_10.0,SUCCESS,12956.2,0.8965,0.191065,100,2026-01-15 14:42:10
FedProx_Mu0.5_Alpha_10.0,SUCCESS,12951.5,0.8105,0.243921,100,2026-01-15 18:18:17
FedProx_Mu1.0_Alpha_10.0,SUCCESS,12925.1,0.7793,0.256013,100,2026-01-15 21:53:57
FedAdam_Alpha_10.0,SUCCESS,1475.5,0.5085,0.398396,16,2026-01-15 22:18:48
FedYogi_Alpha_10.0,SUCCESS,1292.3,0.5129,0.442540,14,2026-01-15 22:40:35
FedAvg_Alpha_1.0,SUCCESS,7645.1,0.9603,0.122248,73,2026-01-16 00:48:15
FedProx_Mu0.01_Alpha_1.0,SUCCESS,13053.8,0.9618,0.118351,89,2026-01-16 04:26:04
FedProx_Mu0.1_Alpha_1.0,SUCCESS,14703.8,0.8901,0.195108,100,2026-01-16 08:31:23
FedProx_Mu0.5_Alpha_1.0,SUCCESS,14720.3,0.8085,0.244330,100,2026-01-16 12:36:58
FedProx_Mu1.0_Alpha_1.0,SUCCESS,14707.4,0.7790,0.255507,100,2026-01-16 16:42:20
FedAdam_Alpha_1.0,SUCCESS,1889.4,0.5137,0.402201,18,2026-01-16 17:14:05
FedYogi_Alpha_1.0,SUCCESS,1468.1,0.5058,0.415439,14,2026-01-16 17:38:48
FedAvg_Alpha_0.5,SUCCESS,12465.8,0.9562,0.133715,75,2026-01-16 21:06:49
FedProx_Mu0.01_Alpha_0.5,SUCCESS,20607.7,0.9570,0.122492,86,2026-01-17 02:50:31
FedProx_Mu0.1_Alpha_0.5,SUCCESS,24444.3,0.8713,0.209354,100,2026-01-17 09:38:11
FedProx_Mu0.5_Alpha_0.5,SUCCESS,24442.2,0.8010,0.247301,100,2026-01-17 16:25:48
FedProx_Mu1.0_Alpha_0.5,SUCCESS,23947.0,0.7709,0.258431,100,2026-01-17 23:05:10
FedAdam_Alpha_0.5,SUCCESS,2670.0,0.5029,0.520129,16,2026-01-17 23:49:55
FedYogi_Alpha_0.5,SUCCESS,2330.5,0.5124,0.409429,14,2026-01-18 00:29:01
FedAvg_Alpha_0.1,SUCCESS,14360.8,0.9610,0.135901,70,2026-01-18 04:28:37
FedProx_Mu0.01_Alpha_0.1,SUCCESS,29153.9,0.9617,0.125155,98,2026-01-18 12:34:45
FedProx_Mu0.1_Alpha_0.1,SUCCESS,29672.2,0.8626,0.215660,100,2026-01-18 20:49:33
FedProx_Mu0.5_Alpha_0.1,SUCCESS,29277.4,0.8008,0.248450,100,2026-01-19 04:57:45
FedProx_Mu1.0_Alpha_0.1,SUCCESS,29903.6,0.7714,0.258990,100,2026-01-19 13:16:24
FedAdam_Alpha_0.1,SUCCESS,3143.8,0.5039,0.481871,15,2026-01-19 14:09:02
FedYogi_Alpha_0.1,SUCCESS,2919.6,0.5000,0.512967,14,2026-01-19 14:57:57
SCAFFOLD_Alpha_10.0,SUCCESS,9518.2,0.9491,0.131806,100,2026-01-19 17:36:50
SCAFFOLD_Alpha_1.0,SUCCESS,10640.7,0.9453,0.142751,100,2026-01-19 20:34:26
SCAFFOLD_Alpha_0.5,SUCCESS,16195.7,0.9436,0.152988,97,2026-01-20 01:04:37
SCAFFOLD_Alpha_0.1,SUCCESS,20682.6,0.9505,0.154780,100,2026-01-20 06:49:34
SecAgg_Alpha_10.0,SUCCESS,1200.2,0.4909,0.775891,12,2026-01-20 07:09:50
SecAgg_Alpha_1.0,SUCCESS,1675.1,0.5104,0.718428,15,2026-01-20 07:38:00
SecAgg_Alpha_0.5,SUCCESS,1888.5,0.5192,0.750341,11,2026-01-20 08:09:43
SecAgg_Alpha_0.1,SUCCESS,2354.2,0.4988,0.768103,11,2026-01-20 08:49:12
